NUMESCALA;C_Abonos;C_Agro-ganadero y alimentario;C_Energético;C_Material de construcción;C_Minerales no metálicos;C_Químicos;C_Siderometalúrgico;C_Vehículos y elementos de transporte;C_Otras mercancías;D_Abonos;D_Agro-ganadero y alimentario;D_Energético;D_Material de construcción;D_Minerales no metálicos;D_Químicos;D_Siderometalúrgico;D_Vehículos y elementos de transporte;D_Otras mercancías
C202000191;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4606.491;0;0
C202000192;0;0;0;0;0;3340;0;0;0;0;0;0;0;0;0;0;0;0
C202000196;0;0;0;0;0;0;0;0;0;0;0;0;0;0;95.55;0;0;0
C202000197;0;0;0;0;0;37.785;0;0;0;0;0;0;0;0;0;0;0;0
C202000198;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28000;0;0
C202000210;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5748.9;0;0
C202000213;0;0;0;0;0;0;0;0;0;0;3000;0;0;0;0;0;0;0
C202000214;0;0;0;0;0;0;0;0;0;3029.331;0;0;0;0;0;0;0;0
C202000216;0;0;0;0;0;0;0;0;0;0;31491;0;0;0;0;0;0;0
C202000228;0;0;0;0;0;0;1847.141;0;1.25;0;0;0;0;0;0;0;0;0
C202000230;0;0;0;0;0;2505;0;0;0;0;0;0;0;0;0;0;0;0
C202000233;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8000;0;0
C202000234;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4455.7;0;0
C202000240;0;0;0;0;0;0;0;0;0;5779.827;0;0;0;0;0;0;0;0
C202000241;0;0;0;0;0;0;2045.09;0;0;0;0;0;0;0;0;0;0;0
C202000253;0;0;0;0;0;4871.72;0;0;0;0;0;0;0;0;0;0;0;0
C202000254;0;0;0;0;3252.34;0;0;0;0;0;0;0;0;0;0;0;0;0
C202000255;0;0;0;0;0;0;1609.809;0;0;0;0;0;0;0;0;0;0;0
C202000257;0;0;0;0;0;0;1147.261;0;0;0;0;0;0;0;0;0;0;0
C202000263;0;0;0;0;0;0;0;0;14.163;0;0;0;0;0;0;0;0;0
C202000264;0;0;0;0;0;2755.5;0;0;0;0;0;0;0;0;0;0;0;0
C202000265;0;0;0;0;0;0;0;0;0;0;17685.7;0;0;0;0;0;0;0
C202000266;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3573.949;0;0
C202000267;0;0;0;0;0;0;3998.01;0;0;0;0;0;0;0;0;0;0;0
C202000270;0;0;0;0;0;0;5365.691;0;0;0;0;0;0;0;0;0;0;0
C202000282;0;0;0;0;0;4500;0;0;0;4027.529;0;0;0;0;0;0;0;0
C202000286;0;0;0;0;0;0;0;0;0;3244;0;0;0;0;0;0;0;0
C202000287;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3300.09;0;0
C202000290;0;0;0;0;0;0;3515.561;0;0;0;0;0;0;0;0;0;0;0
C202000295;0;0;0;0;2400;0;0;0;0;0;0;0;0;0;0;0;0;0
C202000300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4600.699;0;0
C202000301;0;0;0;0;0;0;1000;0;0;0;0;0;0;0;0;0;0;0
C202000302;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;922.61;0;0
C202000313;0;0;0;0;0;0;0;0;0;0;3434.84;0;0;0;0;0;0;0
C202000314;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3283.995;0;0
C202000316;0;0;0;0;2900;0;0;0;0;0;0;0;0;0;0;0;0;0
C202000322;0;6988.64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C202000326;0;0;0;0;0;0;2331.03;0;0;0;0;0;0;0;0;0;0;0
C202000327;0;0;0;0;0;4040;0;0;0;0;0;0;0;0;0;0;0;0
C202000328;0;0;0;0.68;0;182.176;11.31;0;68.158;0;0;0;0;0;0;0;0;0
C202000329;0;0;0;0;0;0;0;0;0;5500;0;0;0;0;0;0;0;0
C202000331;0;0;0;0;0;0;0;0;0;0;0;0;0;0;97.85;0;0;0
C202000332;0;0;0;0;0;0;0;0;0;4339;0;0;0;0;0;0;0;0
C202000333;0;0;0;0;0;6012;0;0;0;0;0;0;0;0;0;0;0;0
C202000337;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1869.7;0;0
C202000338;0;0;0;0;0;0;0;0;0;9000;0;0;0;0;0;0;0;0
C202000343;0;0;0;0;0;62;0;0;0;0;0;0;0;0;0;0;0;0
C202000344;0;0;0;0.495;0;291.658;242.36;0;0.859;0;0;0;0;0;0;0;0;0
C202000349;0;0;0;951.016;0;0;55.734;0;0;0;0;0;0;0;0;0;0;0
C202000351;0;0;0;0;0;0;5640.258;0;0;0;0;0;0;0;0;0;0;0
